date,parent_region,region,confirmed,recovered,deaths
2020-01-27,global,Singapur,5.0,0.0,0.0
2020-01-28,USA,Illinois,1.0,0.0,0.0
2020-01-28,USA,Arizona,1.0,0.0,0.0
2020-01-28,USA,California,2.0,0.0,0.0
2020-01-28,Australien,Victoria,1.0,0.0,0.0
2020-01-28,USA,Washington,1.0,0.0,0.0
2020-01-28,global,Sri Lanka,1.0,0.0,0.0
2020-01-28,China,Shaanxi,46.0,0.0,0.0
2020-01-28,Australien,New South Wales,4.0,0.0,0.0
2020-01-28,China,Shanghai,66.0,4.0,1.0
2020-01-28,China,Xinjiang,10.0,0.0,0.0
2020-01-28,Deutschland,Bayern,4.0,0.0,0.0
2020-01-28,China,Guangxi,51.0,2.0,0.0
2020-01-28,China,Hunan,143.0,0.0,0.0
2020-01-28,global,Frankreich,4.0,0.0,0.0
2020-01-28,China,Macau,7.0,0.0,0.0
2020-01-28,China,Innere Mongolei,15.0,0.0,0.0
2020-01-28,China,Guangdong,207.0,4.0,0.0
2020-01-28,China,Jilin,8.0,0.0,0.0
2020-01-28,China,Sichuan,90.0,0.0,0.0
2020-01-28,China,Anhui,106.0,0.0,0.0
2020-01-28,China,Peking (Beijing),91.0,4.0,1.0
2020-01-28,China,Qinghai,6.0,0.0,0.0
2020-01-28,Kanada,British Columbia,1.0,0.0,0.0
2020-01-28,China,Jiangxi,109.0,3.0,0.0
2020-01-28,global,Südkorea,4.0,0.0,0.0
2020-01-28,China,Chongqing,132.0,0.0,0.0
2020-01-28,China,Guizhou,9.0,0.0,0.0
2020-01-28,China,Zhejiang,173.0,3.0,0.0
2020-01-28,global,Thailand,14.0,5.0,0.0
2020-01-28,China,Tianjin,24.0,0.0,0.0
2020-01-28,China,Yunnan,44.0,0.0,0.0
2020-01-28,global,Nepal,1.0,0.0,0.0
2020-01-28,China,Jiangsu,70.0,1.0,0.0
2020-01-28,global,Kambodscha,1.0,0.0,0.0
2020-01-28,Kanada,Ontario,1.0,0.0,0.0
2020-01-28,China,Shanxi,27.0,0.0,0.0
2020-01-28,China,Hebei,33.0,0.0,1.0
2020-01-28,China,Ningxia,11.0,0.0,0.0
2020-01-28,China,Hainan,40.0,0.0,1.0
2020-01-28,China,Liaoning,34.0,0.0,0.0
2020-01-28,China,Henan,168.0,0.0,1.0
2020-01-28,China,Heilongjiang,33.0,0.0,1.0
2020-01-28,global,Taiwan,8.0,0.0,0.0
2020-01-28,China,Fujian,80.0,0.0,0.0
2020-01-28,China,Hong Kong,8.0,0.0,0.0
2020-01-28,China,Gansu,19.0,0.0,0.0
2020-01-28,global,Singapur,7.0,0.0,0.0
2020-01-28,global,Vietnam,2.0,0.0,0.0
2020-01-28,China,Shandong,95.0,0.0,0.0
2020-01-28,China,Hubei (Wuhan),3554.0,80.0,125.0
2020-01-28,global,Malaysia,4.0,0.0,0.0
2020-01-28,global,Japan,7.0,1.0,0.0
2020-01-29,China,Jiangxi,109.0,3.0,0.0
2020-01-29,USA,Arizona,1.0,0.0,0.0
2020-01-29,USA,Washington,1.0,0.0,0.0
2020-01-29,USA,California,2.0,0.0,0.0
2020-01-29,USA,Illinois,1.0,0.0,0.0
2020-01-29,global,Südkorea,4.0,0.0,0.0
2020-01-29,global,Japan,7.0,1.0,0.0
2020-01-29,China,Shandong,130.0,1.0,0.0
2020-01-29,China,Hubei (Wuhan),3554.0,88.0,125.0
2020-01-29,China,Gansu,24.0,0.0,0.0
2020-01-29,Australien,Queensland,1.0,0.0,0.0
2020-01-29,China,Jiangsu,99.0,1.0,0.0
2020-01-29,China,Henan,206.0,1.0,2.0
2020-01-29,global,Taiwan,8.0,0.0,0.0
2020-01-29,China,Fujian,84.0,0.0,0.0
2020-01-29,China,Heilongjiang,38.0,0.0,1.0
2020-01-29,China,Hong Kong,10.0,0.0,0.0
2020-01-29,global,Finnland,1.0,0.0,0.0
2020-01-29,China,Ningxia,12.0,0.0,0.0
2020-01-29,China,Hainan,43.0,0.0,1.0
2020-01-29,China,Liaoning,39.0,1.0,0.0
2020-01-29,Australien,Victoria,1.0,0.0,0.0
2020-01-29,China,Hebei,48.0,0.0,1.0
2020-01-29,China,Shanxi,27.0,1.0,0.0
2020-01-29,global,Nepal,1.0,0.0,0.0
2020-01-29,China,Tianjin,27.0,0.0,0.0
2020-01-29,Kanada,Ontario,1.0,0.0,0.0
2020-01-29,China,Yunnan,55.0,0.0,0.0
2020-01-29,global,Kambodscha,1.0,0.0,0.0
2020-01-29,global,Vietnam,2.0,0.0,0.0
2020-01-29,China,Chongqing,147.0,1.0,0.0
2020-01-29,Kanada,British Columbia,1.0,0.0,0.0
2020-01-29,global,Vereinigte Arabische Emirate,4.0,0.0,0.0
2020-01-29,China,Shaanxi,56.0,0.0,0.0
2020-01-29,China,Qinghai,6.0,0.0,0.0
2020-01-29,China,Peking (Beijing),111.0,4.0,1.0
2020-01-29,China,Guizhou,9.0,1.0,0.0
2020-01-29,China,Sichuan,108.0,1.0,1.0
2020-01-29,China,Anhui,152.0,2.0,0.0
2020-01-29,China,Guangdong,277.0,5.0,0.0
2020-01-29,China,Jilin,9.0,0.0,0.0
2020-01-29,China,Innere Mongolei,16.0,0.0,0.0
2020-01-29,China,Guangxi,58.0,2.0,0.0
2020-01-29,China,Zhejiang,296.0,3.0,0.0
2020-01-29,China,Macau,7.0,0.0,0.0
2020-01-29,global,Thailand,14.0,5.0,0.0
2020-01-29,global,Frankreich,5.0,0.0,0.0
2020-01-29,Deutschland,Bayern,4.0,0.0,0.0
2020-01-29,China,Xinjiang,13.0,0.0,0.0
2020-01-29,China,Shanghai,96.0,5.0,1.0
2020-01-29,global,Sri Lanka,1.0,0.0,0.0
2020-01-29,China,Hunan,221.0,0.0,0.0
2020-01-29,Australien,New South Wales,4.0,0.0,0.0
2020-01-29,global,Singapur,7.0,0.0,0.0
2020-01-29,global,Malaysia,7.0,0.0,0.0
2020-01-30,China,Hong Kong,10.0,0.0,0.0
2020-01-30,USA,Arizona,1.0,0.0,0.0
2020-01-30,USA,Washington,1.0,0.0,0.0
2020-01-30,USA,California,2.0,0.0,0.0
2020-01-30,China,Guangdong,354.0,10.0,0.0
2020-01-30,Australien,New South Wales,4.0,2.0,0.0
2020-01-30,global,Nepal,1.0,0.0,0.0
2020-01-30,USA,Illinois,1.0,0.0,0.0
2020-01-30,China,Macau,7.0,0.0,0.0
2020-01-30,China,Shandong,158.0,1.0,0.0
2020-01-30,China,Ningxia,17.0,0.0,0.0
2020-01-30,China,Tianjin,31.0,0.0,0.0
2020-01-30,global,Finnland,1.0,0.0,0.0
2020-01-30,China,Jiangxi,162.0,5.0,0.0
2020-01-30,China,Liaoning,41.0,1.0,0.0
2020-01-30,global,Thailand,14.0,5.0,0.0
2020-01-30,Australien,Victoria,2.0,0.0,0.0
2020-01-30,China,Shanxi,35.0,1.0,0.0
2020-01-30,China,Hebei,65.0,0.0,1.0
2020-01-30,China,Hainan,46.0,1.0,1.0
2020-01-30,global,Philippinen,1.0,0.0,0.0
2020-01-30,China,Guizhou,12.0,1.0,0.0
2020-01-30,China,Guangxi,78.0,2.0,0.0
2020-01-30,Deutschland,Bayern,5.0,0.0,0.0
2020-01-30,global,Vietnam,2.0,0.0,0.0
2020-01-30,China,Tibet,1.0,0.0,0.0
2020-01-30,China,Sichuan,142.0,1.0,1.0
2020-01-30,China,Heilongjiang,44.0,0.0,2.0
2020-01-30,China,Hubei (Wuhan),4903.0,90.0,162.0
2020-01-30,China,Fujian,101.0,0.0,0.0
2020-01-30,China,Zhejiang,428.0,4.0,0.0
2020-01-30,China,Qinghai,8.0,0.0,0.0
2020-01-30,Kanada,British Columbia,1.0,0.0,0.0
2020-01-30,global,Sri Lanka,1.0,0.0,0.0
2020-01-30,global,Vereinigte Arabische Emirate,4.0,0.0,0.0
2020-01-30,China,Peking (Beijing),114.0,4.0,1.0
2020-01-30,global,Südkorea,4.0,0.0,0.0
2020-01-30,Kanada,Ontario,1.0,0.0,0.0
2020-01-30,global,Japan,11.0,1.0,0.0
2020-01-30,China,Anhui,200.0,2.0,0.0
2020-01-30,China,Henan,278.0,2.0,2.0
2020-01-30,global,Singapur,10.0,0.0,0.0
2020-01-30,China,Jilin,14.0,1.0,0.0
2020-01-30,global,Malaysia,8.0,0.0,0.0
2020-01-30,China,Innere Mongolei,19.0,0.0,0.0
2020-01-30,China,Hunan,277.0,2.0,0.0
2020-01-30,China,Shaanxi,63.0,0.0,0.0
2020-01-30,China,Gansu,26.0,0.0,0.0
2020-01-30,Australien,Queensland,3.0,0.0,0.0
2020-01-30,global,Indien,1.0,0.0,0.0
2020-01-30,global,Kambodscha,1.0,0.0,0.0
2020-01-30,China,Chongqing,182.0,1.0,0.0
2020-01-30,China,Xinjiang,14.0,0.0,0.0
2020-01-30,China,Shanghai,112.0,5.0,1.0
2020-01-30,global,Taiwan,9.0,0.0,0.0
2020-01-30,global,Frankreich,5.0,0.0,0.0
2020-01-30,China,Jiangsu,129.0,1.0,0.0
2020-01-30,China,Yunnan,70.0,0.0,0.0
2020-01-31,global,Malaysia,8.0,0.0,0.0
2020-01-31,USA,Arizona,1.0,0.0,0.0
2020-01-31,USA,Washington,1.0,0.0,0.0
2020-01-31,USA,Illinois,2.0,0.0,0.0
2020-01-31,China,Fujian,120.0,0.0,0.0
2020-01-31,China,Guangdong,436.0,11.0,0.0
2020-01-31,Australien,New South Wales,4.0,2.0,0.0
2020-01-31,China,Hunan,332.0,2.0,0.0
2020-01-31,China,Xinjiang,17.0,0.0,0.0
2020-01-31,China,Shanghai,135.0,9.0,1.0
2020-01-31,global,Italien,2.0,0.0,0.0
2020-01-31,China,Innere Mongolei,20.0,1.0,0.0
2020-01-31,global,Thailand,19.0,5.0,0.0
2020-01-31,China,Jilin,14.0,1.0,0.0
2020-01-31,China,Peking (Beijing),139.0,5.0,1.0
2020-01-31,China,Anhui,237.0,3.0,0.0
2020-01-31,Kanada,British Columbia,1.0,0.0,0.0
2020-01-31,China,Hebei,82.0,0.0,1.0
2020-01-31,Australien,Victoria,3.0,0.0,0.0
2020-01-31,China,Zhejiang,538.0,14.0,0.0
2020-01-31,global,Schweden,1.0,0.0,0.0
2020-01-31,China,Liaoning,48.0,1.0,0.0
2020-01-31,China,Ningxia,21.0,0.0,0.0
2020-01-31,China,Shandong,184.0,2.0,0.0
2020-01-31,China,Hong Kong,12.0,0.0,0.0
2020-01-31,global,Taiwan,10.0,0.0,0.0
2020-01-31,global,Großbritannien,2.0,0.0,0.0
2020-01-31,global,Vereinigte Arabische Emirate,4.0,0.0,0.0
2020-01-31,China,Shaanxi,87.0,0.0,0.0
2020-01-31,Australien,Queensland,2.0,0.0,0.0
2020-01-31,China,Gansu,29.0,0.0,0.0
2020-01-31,USA,California,3.0,0.0,0.0
2020-01-31,China,Yunnan,83.0,1.0,0.0
2020-01-31,China,Hubei (Wuhan),5806.0,141.0,204.0
2020-01-31,China,Jiangsu,168.0,5.0,0.0
2020-01-31,China,Heilongjiang,59.0,0.0,2.0
2020-01-31,global,Vietnam,2.0,0.0,0.0
2020-01-31,China,Jiangxi,240.0,7.0,0.0
2020-01-31,China,Shanxi,39.0,1.0,0.0
2020-01-31,China,Tianjin,32.0,0.0,0.0
2020-01-31,global,Nepal,1.0,0.0,0.0
2020-01-31,global,Kambodscha,1.0,0.0,0.0
2020-01-31,global,Russland,2.0,0.0,0.0
2020-01-31,global,Japan,15.0,1.0,0.0
2020-01-31,global,Südkorea,11.0,0.0,0.0
2020-01-31,global,Philippinen,1.0,0.0,0.0
2020-01-31,China,Qinghai,8.0,0.0,0.0
2020-01-31,China,Sichuan,177.0,1.0,1.0
2020-01-31,China,Hainan,52.0,1.0,1.0
2020-01-31,China,Henan,352.0,3.0,2.0
2020-01-31,China,Macau,7.0,0.0,0.0
2020-01-31,global,Frankreich,5.0,0.0,0.0
2020-01-31,global,Singapur,13.0,0.0,0.0
2020-01-31,global,Sri Lanka,1.0,0.0,0.0
2020-01-31,China,Tibet,1.0,0.0,0.0
2020-01-31,Deutschland,Bayern,7.0,0.0,0.0
2020-01-31,global,Finnland,1.0,0.0,0.0
2020-01-31,China,Guizhou,29.0,2.0,0.0
2020-01-31,China,Guangxi,87.0,2.0,0.0
2020-01-31,China,Chongqing,211.0,1.0,0.0
2020-01-31,Kanada,Ontario,3.0,0.0,0.0
2020-01-31,global,Indien,1.0,0.0,0.0
2020-02-01,China,Guizhou,29.0,2.0,0.0
2020-02-01,China,Chongqing,247.0,3.0,1.0
2020-02-01,global,Malaysia,8.0,0.0,0.0
2020-02-01,China,Tibet,1.0,0.0,0.0
2020-02-01,China,Guangxi,100.0,2.0,0.0
2020-02-01,China,Xinjiang,18.0,0.0,0.0
2020-02-01,USA,California,3.0,0.0,0.0
2020-02-01,global,Indien,1.0,0.0,0.0
2020-02-01,global,Frankreich,6.0,0.0,0.0
2020-02-01,China,Zhejiang,599.0,21.0,0.0
2020-02-01,China,Macau,7.0,0.0,0.0
2020-02-01,global,Vereinigte Arabische Emirate,4.0,0.0,0.0
2020-02-01,China,Yunnan,93.0,2.0,0.0
2020-02-01,USA,Massachusetts,1.0,0.0,0.0
2020-02-01,Australien,Queensland,3.0,0.0,0.0
2020-02-01,global,Finnland,1.0,0.0,0.0
2020-02-01,Deutschland,Bayern,8.0,0.0,0.0
2020-02-01,China,Guangdong,535.0,14.0,0.0
2020-02-01,China,Shaanxi,101.0,0.0,0.0
2020-02-01,USA,Arizona,1.0,0.0,0.0
2020-02-01,Australien,New South Wales,4.0,2.0,0.0
2020-02-01,Kanada,Ontario,3.0,0.0,0.0
2020-02-01,China,Jiangxi,286.0,9.0,0.0
2020-02-01,China,Hebei,96.0,0.0,1.0
2020-02-01,USA,Washington,1.0,0.0,0.0
2020-02-01,China,Hunan,389.0,8.0,0.0
2020-02-01,global,Sri Lanka,1.0,0.0,0.0
2020-02-01,Kanada,British Columbia,1.0,0.0,0.0
2020-02-01,China,Gansu,40.0,0.0,0.0
2020-02-01,global,Singapur,16.0,0.0,0.0
2020-02-01,China,Hubei (Wuhan),7153.0,168.0,249.0
2020-02-01,Australien,Victoria,4.0,0.0,0.0
2020-02-01,global,Thailand,19.0,5.0,0.0
2020-02-01,China,Heilongjiang,80.0,2.0,2.0
2020-02-01,China,Shanghai,169.0,10.0,1.0
2020-02-01,China,Jiangsu,202.0,6.0,0.0
2020-02-01,global,Vietnam,6.0,1.0,0.0
2020-02-01,China,Liaoning,64.0,1.0,0.0
2020-02-01,China,Shanxi,47.0,1.0,0.0
2020-02-01,China,Innere Mongolei,23.0,1.0,0.0
2020-02-01,global,Spanien,1.0,0.0,0.0
2020-02-01,China,Anhui,297.0,5.0,0.0
2020-02-01,China,Tianjin,41.0,0.0,0.0
2020-02-01,global,Nepal,1.0,0.0,0.0
2020-02-01,China,Fujian,144.0,0.0,0.0
2020-02-01,China,Ningxia,26.0,0.0,0.0
2020-02-01,global,Kambodscha,1.0,0.0,0.0
2020-02-01,Australien,South Australia,1.0,0.0,0.0
2020-02-01,global,Philippinen,1.0,0.0,0.0
2020-02-01,global,Schweden,1.0,0.0,0.0
2020-02-01,global,Russland,2.0,0.0,0.0
2020-02-01,China,Shandong,206.0,3.0,0.0
2020-02-01,China,Hong Kong,13.0,0.0,0.0
2020-02-01,global,Südkorea,12.0,0.0,0.0
2020-02-01,China,Peking (Beijing),168.0,9.0,1.0
2020-02-01,China,Jilin,17.0,1.0,0.0
2020-02-01,China,Sichuan,207.0,3.0,1.0
2020-02-01,global,Taiwan,10.0,0.0,0.0
2020-02-01,China,Qinghai,9.0,0.0,0.0
2020-02-01,China,Henan,422.0,3.0,2.0
2020-02-01,USA,Illinois,2.0,0.0,0.0
2020-02-01,global,Italien,2.0,0.0,0.0
2020-02-01,China,Hainan,62.0,1.0,1.0
2020-02-01,global,Großbritannien,2.0,0.0,0.0
2020-02-01,global,Japan,20.0,1.0,0.0
2020-02-02,global,Großbritannien,2.0,0.0,0.0
2020-02-02,global,Kambodscha,1.0,0.0,0.0
2020-02-02,USA,Washington,1.0,0.0,0.0
2020-02-02,USA,Massachusetts,1.0,0.0,0.0
2020-02-02,USA,Illinois,2.0,0.0,0.0
2020-02-02,USA,Arizona,1.0,0.0,0.0
2020-02-02,global,Russland,2.0,0.0,0.0
2020-02-02,global,Italien,2.0,0.0,0.0
2020-02-02,global,Indien,2.0,0.0,0.0
2020-02-02,China,Shanghai,182.0,10.0,1.0
2020-02-02,global,Malaysia,8.0,0.0,0.0
2020-02-02,global,Südkorea,15.0,0.0,0.0
2020-02-02,China,Henan,493.0,10.0,2.0
2020-02-02,Kanada,British Columbia,1.0,0.0,0.0
2020-02-02,China,Sichuan,231.0,11.0,1.0
2020-02-02,China,Jiangxi,333.0,12.0,0.0
2020-02-02,China,Shandong,230.0,6.0,0.0
2020-02-02,China,Hong Kong,15.0,0.0,0.0
2020-02-02,China,Qinghai,11.0,0.0,0.0
2020-02-02,China,Jilin,23.0,1.0,0.0
2020-02-02,China,Innere Mongolei,27.0,1.0,0.0
2020-02-02,China,Hubei (Wuhan),11177.0,295.0,350.0
2020-02-02,China,Ningxia,28.0,0.0,0.0
2020-02-02,China,Hainan,64.0,4.0,1.0
2020-02-02,global,Vereinigte Arabische Emirate,5.0,0.0,0.0
2020-02-02,China,Zhejiang,661.0,32.0,0.0
2020-02-02,global,Thailand,19.0,5.0,0.0
2020-02-02,China,Guizhou,38.0,2.0,0.0
2020-02-02,global,Spanien,1.0,0.0,0.0
2020-02-02,Australien,Victoria,4.0,0.0,0.0
2020-02-02,global,Frankreich,6.0,0.0,0.0
2020-02-02,global,Japan,20.0,1.0,0.0
2020-02-02,China,Hunan,463.0,16.0,0.0
2020-02-02,USA,California,3.0,0.0,0.0
2020-02-02,global,Singapur,18.0,0.0,0.0
2020-02-02,global,Vietnam,6.0,1.0,0.0
2020-02-02,China,Jiangsu,236.0,7.0,0.0
2020-02-02,China,Macau,8.0,0.0,0.0
2020-02-02,China,Tianjin,48.0,1.0,0.0
2020-02-02,global,Sri Lanka,1.0,0.0,0.0
2020-02-02,global,Finnland,1.0,0.0,0.0
2020-02-02,global,Schweden,1.0,0.0,0.0
2020-02-02,China,Shanxi,66.0,3.0,0.0
2020-02-02,China,Yunnan,105.0,3.0,0.0
2020-02-02,China,Anhui,340.0,7.0,0.0
2020-02-02,Deutschland,Bayern,8.0,0.0,0.0
2020-02-02,Deutschland,Repatriierte,2.0,0.0,0.0
2020-02-02,China,Gansu,51.0,3.0,0.0
2020-02-02,China,Hebei,104.0,3.0,1.0
2020-02-02,global,Nepal,1.0,0.0,0.0
2020-02-02,global,Philippinen,2.0,0.0,1.0
2020-02-02,China,Xinjiang,21.0,0.0,0.0
2020-02-02,China,Guangxi,111.0,2.0,0.0
2020-02-02,China,Heilongjiang,95.0,2.0,2.0
2020-02-02,global,Taiwan,10.0,0.0,0.0
2020-02-02,China,Tibet,1.0,0.0,0.0
2020-02-02,China,Liaoning,70.0,1.0,0.0
2020-02-02,China,Chongqing,300.0,7.0,2.0
2020-02-02,China,Fujian,159.0,0.0,0.0
2020-02-02,China,Peking (Beijing),191.0,9.0,1.0
2020-02-02,Australien,New South Wales,4.0,2.0,0.0
2020-02-02,Australien,Queensland,2.0,0.0,0.0
2020-02-02,Kanada,Ontario,3.0,0.0,0.0
2020-02-02,China,Shaanxi,116.0,0.0,0.0
2020-02-02,Australien,South Australia,2.0,0.0,0.0
2020-02-02,China,Guangdong,632.0,15.0,0.0
2020-02-03,USA,California,6.0,0.0,0.0
2020-02-03,USA,Washington,1.0,0.0,0.0
2020-02-03,USA,Illinois,2.0,0.0,0.0
2020-02-03,China,Zhejiang,724.0,43.0,0.0
2020-02-03,USA,Arizona,1.0,0.0,0.0
2020-02-03,USA,Massachusetts,1.0,0.0,0.0
2020-02-03,China,Guangdong,725.0,21.0,0.0
2020-02-03,China,Tibet,1.0,0.0,0.0
2020-02-03,China,Chongqing,337.0,9.0,2.0
2020-02-03,China,Guangxi,127.0,7.0,0.0
2020-02-03,Deutschland,Repatriierte,2.0,0.0,0.0
2020-02-03,Deutschland,Bayern,10.0,0.0,0.0
2020-02-03,global,Sri Lanka,1.0,0.0,0.0
2020-02-03,global,Finnland,1.0,0.0,0.0
2020-02-03,China,Guizhou,46.0,2.0,0.0
2020-02-03,China,Tianjin,60.0,1.0,0.0
2020-02-03,China,Macau,8.0,0.0,0.0
2020-02-03,global,Singapur,18.0,0.0,0.0
2020-02-03,global,Japan,20.0,1.0,0.0
2020-02-03,global,Frankreich,6.0,0.0,0.0
2020-02-03,China,Hainan,72.0,4.0,1.0
2020-02-03,China,Qinghai,13.0,0.0,0.0
2020-02-03,global,Südkorea,15.0,0.0,0.0
2020-02-03,China,Henan,566.0,16.0,2.0
2020-02-03,global,Russland,2.0,0.0,0.0
2020-02-03,China,Xinjiang,24.0,0.0,0.0
2020-02-03,Australien,South Australia,2.0,0.0,0.0
2020-02-03,China,Fujian,179.0,1.0,0.0
2020-02-03,global,Kambodscha,1.0,0.0,0.0
2020-02-03,China,Sichuan,254.0,14.0,1.0
2020-02-03,global,Nepal,1.0,0.0,0.0
2020-02-03,China,Shanxi,74.0,2.0,0.0
2020-02-03,global,Philippinen,2.0,0.0,1.0
2020-02-03,China,Jiangsu,271.0,8.0,0.0
2020-02-03,global,Vietnam,8.0,1.0,0.0
2020-02-03,China,Hubei (Wuhan),13522.0,386.0,414.0
2020-02-03,Kanada,Ontario,3.0,0.0,0.0
2020-02-03,global,Indien,3.0,0.0,0.0
2020-02-03,global,Taiwan,10.0,0.0,0.0
2020-02-03,global,Malaysia,8.0,0.0,0.0
2020-02-03,China,Hunan,521.0,22.0,0.0
2020-02-03,China,Shaanxi,128.0,0.0,0.0
2020-02-03,Australien,Queensland,2.0,0.0,0.0
2020-02-03,China,Jiangxi,391.0,18.0,0.0
2020-02-03,China,Heilongjiang,121.0,2.0,2.0
2020-02-03,China,Gansu,55.0,3.0,0.0
2020-02-03,global,Schweden,1.0,0.0,0.0
2020-02-03,global,Großbritannien,2.0,0.0,0.0
2020-02-03,China,Ningxia,31.0,1.0,0.0
2020-02-03,global,Vereinigte Arabische Emirate,5.0,0.0,0.0
2020-02-03,China,Hong Kong,15.0,0.0,0.0
2020-02-03,China,Hebei,113.0,3.0,1.0
2020-02-03,China,Liaoning,74.0,1.0,0.0
2020-02-03,Australien,Victoria,4.0,0.0,0.0
2020-02-03,Kanada,British Columbia,1.0,0.0,0.0
2020-02-03,China,Peking (Beijing),212.0,12.0,1.0
2020-02-03,global,Spanien,1.0,0.0,0.0
2020-02-03,China,Innere Mongolei,34.0,1.0,0.0
2020-02-03,China,Jilin,31.0,1.0,0.0
2020-02-03,China,Shanghai,203.0,10.0,1.0
2020-02-03,China,Anhui,408.0,14.0,0.0
2020-02-03,global,Thailand,19.0,5.0,0.0
2020-02-03,global,Italien,2.0,0.0,0.0
2020-02-03,Australien,New South Wales,4.0,2.0,0.0
2020-02-03,China,Yunnan,117.0,5.0,0.0
2020-02-03,China,Shandong,259.0,7.0,0.0
2020-02-04,China,Hainan,80.0,5.0,1.0
2020-02-04,USA,California,6.0,0.0,0.0
2020-02-04,China,Hong Kong,17.0,0.0,1.0
2020-02-04,USA,Arizona,1.0,0.0,0.0
2020-02-04,USA,Massachusetts,1.0,0.0,0.0
2020-02-04,USA,Washington,1.0,0.0,0.0
2020-02-04,China,Hebei,126.0,4.0,1.0
2020-02-04,China,Ningxia,34.0,1.0,0.0
2020-02-04,USA,Illinois,2.0,0.0,0.0
2020-02-04,China,Shandong,275.0,11.0,0.0
2020-02-04,China,Liaoning,81.0,2.0,0.0
2020-02-04,global,Finnland,1.0,0.0,0.0
2020-02-04,China,Tibet,1.0,0.0,0.0
2020-02-04,China,Tianjin,67.0,2.0,0.0
2020-02-04,global,Russland,2.0,0.0,0.0
2020-02-04,China,Shaanxi,142.0,2.0,0.0
2020-02-04,Kanada,British Columbia,1.0,0.0,0.0
2020-02-04,China,Hubei (Wuhan),16678.0,522.0,479.0
2020-02-04,global,Philippinen,2.0,0.0,1.0
2020-02-04,global,Frankreich,6.0,0.0,0.0
2020-02-04,China,Yunnan,122.0,5.0,0.0
2020-02-04,China,Shanxi,81.0,4.0,0.0
2020-02-04,global,Nepal,1.0,0.0,0.0
2020-02-04,China,Henan,675.0,27.0,2.0
2020-02-04,global,Taiwan,11.0,0.0,0.0
2020-02-04,China,Peking (Beijing),228.0,23.0,1.0
2020-02-04,Australien,South Australia,2.0,0.0,0.0
2020-02-04,global,Großbritannien,2.0,0.0,0.0
2020-02-04,China,Macau,10.0,0.0,0.0
2020-02-04,China,Jiangxi,476.0,20.0,0.0
2020-02-04,China,Gansu,57.0,4.0,0.0
2020-02-04,China,Sichuan,282.0,14.0,1.0
2020-02-04,global,Sri Lanka,1.0,0.0,0.0
2020-02-04,China,Jiangsu,308.0,12.0,0.0
2020-02-04,global,Indien,3.0,0.0,0.0
2020-02-04,China,Guizhou,58.0,2.0,0.0
